;Название;Телефон;Адрес;Ссылка
0;Надежда Сибири;;"Советская, 632 филиала
Железнодорожный район, Новосибирск, 630099";https://2gis.ru/novosibirsk/search/лицей
1;Лицей №9;+7 (383) 220‒36‒21;"1905 года, 41
Челюскинский ж/м, Железнодорожный район, Новосибирск, 630132";https://2gis.ru/novosibirsk/search/лицей/firm/141265769340233/82.913816,55.034761
2;ЭКЛ;+7 (383) 224‒73‒07;"Крылова, 44
Фрунзенский м-н, Центральный район, Новосибирск, 630005";https://2gis.ru/novosibirsk/search/лицей/firm/141265769340234/82.902008,55.04257
3;Лицей №12;+7 (383) 223‒86‒93;"Улица Серебренниковская, 10
Центральный район, Новосибирск, 630007";https://2gis.ru/novosibirsk/search/лицей/firm/141265769340070/82.936099,55.041492
4;Лицей №200;+7 (383) 273‒27‒39;"Улица Кропоткина, 2652 филиала
Кропоткинский ж/м, Заельцовский район, Новосибирск, 630111";https://2gis.ru/novosibirsk/search/лицей/firm/141265769347107/82.928501,55.019945
5;Лицей №159;;"Улица Дуси Ковальчук, 270/23 филиала
Заельцовский район, Новосибирск, 630049";https://2gis.ru/novosibirsk/search/лицей/firm/141265769340232/82.930665,55.057801
6;Инженерный Лицей НГТУ;+7 (383) 346‒35‒06;"Выставочная, 362 филиала
Ленинский район, Новосибирск, 630073";https://2gis.ru/novosibirsk/search/лицей/firm/141265769340122/82.919756,55.059563
7;Лицей №113;+7 (383) 267‒69‒07;"Улица Бориса Богаткова, 241/1
Золотая Нива м-н, Дзержинский район, Новосибирск, 630089";https://2gis.ru/novosibirsk/search/лицей/firm/141265769917362/82.89745,54.991088
8;Лицей №136 им. Героя РФ Сидорова Р.В.;+7 (383) 346‒23‒21;"Космическая, 10
Башня ж/м, Ленинский район, Новосибирск, 630073";https://2gis.ru/novosibirsk/search/лицей/firm/141265769340051/82.977715,55.040155
9;Аэрокосмический лицей им. Ю.В. Кондратюка;+7 (383) 279‒55‒85;"Индустриальная, 4а
Дзержинский район, Новосибирск, 630015";https://2gis.ru/novosibirsk/search/лицей/firm/141265769340102/82.902953,54.984875
10;Лицей №176;+7 (383) 346‒57‒02;"Новогодняя, 20/2
Кировский район, Новосибирск, 630073";https://2gis.ru/novosibirsk/search/лицей/firm/141265769373145/82.970785,55.055442
11;Лицей информационных технологий;+7 (383) 314‒56‒96;"Римского-Корсакова, 13
Кировский район, Новосибирск, 630048";https://2gis.ru/novosibirsk/search/лицей/firm/141265769340138/82.908365,54.982087
12;Новосибирский городской педагогический лицей им. А.С. Пушкина;+7 (383) 266‒13‒70;"Декабристов, 862 филиала
Октябрьский район, Новосибирск, 630009";https://2gis.ru/novosibirsk/search/лицей/page/2/firm/141265769340063/82.887088,54.978385
13;Новосибирский городской педагогический лицей им. А.С. Пушкина;+7 (383) 262‒54‒25;"Добролюбова, 1002 филиала
Октябрьский район, Новосибирск, 630017";https://2gis.ru/novosibirsk/search/лицей/page/2/firm/141265769340105/82.957235,55.005075
14;Лицей №185;+7 (383) 266‒29‒00;"Добролюбова, 1132 филиала
Октябрьский район, Новосибирск, 630008";https://2gis.ru/novosibirsk/search/лицей/page/2/firm/141265769344175/82.968129,55.021882
15;Лицей №126;+7 (383) 276‒27‒17;"Народная, 37
Богдана Хмельницкого м-н, Калининский район, Новосибирск, 630075";https://2gis.ru/novosibirsk/search/лицей/page/2/firm/70000001062331337/82.963698,55.01998
16;Лицей №185;+7 (383) 266‒29‒93;"Белинского, 12 филиала
Шевченковский ж/м, Октябрьский район, Новосибирск, 630008";https://2gis.ru/novosibirsk/search/лицей/page/2/firm/141265769340094/82.950465,55.072198
17;Инженерный Лицей НГТУ;+7 (383) 346‒35‒06;"Выставочная, 282 филиала
Ленинский район, Новосибирск, 630078";https://2gis.ru/novosibirsk/search/лицей/page/2/firm/70000001062331349/82.942834,55.024548
18;Лицей №28;+7 (383) 271‒98‒41;"Новая Заря, 27
Богдана Хмельницкого м-н, Калининский район, Новосибирск, 630110";https://2gis.ru/novosibirsk/search/лицей/page/2/firm/70000001079659327/82.894995,54.989238
