,Название,Телефон,Адрес,Ссылка
0,Дон Феромон,,"Улица Дуси Ковальчук, 179цокольный этаж3 филиала
Заельцовский район, Новосибирск, 630082",https://2gis.ru/novosibirsk/search/сексшоп
1,Доктор Любви,8‒800‒775‒70‒64,"Улица Покрышкина, 61 этаж12 филиалов
Ленинский район, Новосибирск, 630048","https://2gis.ru/novosibirsk/search/сексшоп/firm/70000001019867922/82.909784,55.058715"
2,Любимый,+7 (383) 299‒70‒90,"Улица Ватутина, 271 этаж
Башня ж/м, Ленинский район, Новосибирск, 630073","https://2gis.ru/novosibirsk/search/сексшоп/firm/70000001021284465/82.890898,54.982201"
3,Азбука любви,+7 (383) 266‒90‒26,"Улица Кирова, 1081 этаж2 филиала
Октябрьский район, Новосибирск, 630009","https://2gis.ru/novosibirsk/search/сексшоп/firm/70000001059469317/82.895848,54.983854"
4,Соблазн,+7‒923‒470‒86‒46,"Красный проспект, 186/11 этаж2 филиала
Заельцовский район, Новосибирск, 630049","https://2gis.ru/novosibirsk/search/сексшоп/firm/141265770143917/82.953208,55.012438"
5,KAZANOVA academy,8‒800‒3333‒004,"Улица Дуси Ковальчук, 266цокольный этаж13 филиалов
Заельцовский район, Новосибирск, 630049","https://2gis.ru/novosibirsk/search/сексшоп/firm/70000001064891583/82.914412,55.058877"
6,Интим-Маркет,8‒800‒551‒91‒13,"Улица Нарымская, 17/21 этаж2 филиала
Челюскинский ж/м, Железнодорожный район, Новосибирск, 630132","https://2gis.ru/novosibirsk/search/сексшоп/firm/141265771997066/82.916433,55.060588"
7,Омут,+7 (383) 209‒09‒20,"Улица Большевистская, 372 этаж
Октябрьский район, Новосибирск, 630102","https://2gis.ru/novosibirsk/search/сексшоп/firm/141265769358058/82.90734,55.041049"
8,Сова54,+7‒983‒001‒52‒52,"Проспект Дзержинского, 581 этаж
Дзержинский район, Новосибирск, 630051","https://2gis.ru/novosibirsk/search/сексшоп/firm/70000001066911288/82.93266,55.010497"
9,Lust boutique,+7‒913‒708‒42‒09,"Советская, 18212 офис; 2 этаж; левое крыло
Тихий центр м-н, Центральный район, Новосибирск, 630099","https://2gis.ru/novosibirsk/search/сексшоп/firm/70000001036442076/82.997169,55.066067"
10,KAZANOVA academy,8‒800‒3333‒004,"Улица Бориса Богаткова, 248а1 этаж13 филиалов
Золотая Нива м-н, Дзержинский район, Новосибирск, 630089","https://2gis.ru/novosibirsk/search/сексшоп/firm/70000001036220898/82.91664,55.030279"
11,KAZANOVA academy,8‒800‒3333‒004,"Проспект Карла Маркса, 31 этаж13 филиалов
Башня ж/м, Ленинский район, Новосибирск, 630064","https://2gis.ru/novosibirsk/search/сексшоп/firm/141265769992274/82.978329,55.037185"
12,KAZANOVA academy,8‒800‒3333‒004,"Гостиница ЦентральнаяУлица Ленина, 3цокольный этаж13 филиалов
Тихий центр м-н, Центральный район, Новосибирск, 630099","https://2gis.ru/novosibirsk/search/сексшоп/page/2/firm/70000001029240280/82.8975,54.984168"
13,Lacorsa,+7‒952‒932‒01‒23,"Проспект Карла Маркса, 551 этаж
Ленинский район, Новосибирск, 630073","https://2gis.ru/novosibirsk/search/сексшоп/page/2/firm/70000001029507776/82.916836,55.029549"
14,KAZANOVA academy,8‒800‒3333‒004,"Красный проспект, 11цокольный этаж13 филиалов
Тихий центр м-н, Центральный район, Новосибирск, 630007","https://2gis.ru/novosibirsk/search/сексшоп/page/2/firm/70000001029453785/82.910343,54.991839"
15,Lovehack 18+,+7‒983‒120‒03‒03,"Советская, 8
Тихий центр м-н, Центральный район, Новосибирск, 630007","https://2gis.ru/novosibirsk/search/сексшоп/page/2/firm/141265769363420/82.921673,55.023311"
16,Магазин Фантазий 18+,+7‒913‒916‒69‒51,"Улица Гоголя, 42193 офис; цокольный этаж
Фрунзенский м-н, Центральный район, Новосибирск, 630005","https://2gis.ru/novosibirsk/search/сексшоп/page/2/firm/70000001047572517/82.918378,55.023792"
17,KAZANOVA academy,8‒800‒3333‒004,"Улица Мичурина, 25/113 филиалов
Центральный район, Новосибирск, 630091","https://2gis.ru/novosibirsk/search/сексшоп/page/2/firm/141265771741328/82.940936,55.043842"
18,KAZANOVA academy,8‒800‒3333‒004,"Улица Геодезическая, 41 этаж13 филиалов
Ленинский район, Новосибирск, 630073","https://2gis.ru/novosibirsk/search/сексшоп/page/2/firm/70000001045551178/82.920521,55.042721"
19,Студия интим-фитнеса,+7‒913‒945‒67‒97,"БЦ АдриатикаКрасный проспект, 20032 офис; 3 этаж
Заельцовский район, Новосибирск, 630049","https://2gis.ru/novosibirsk/search/сексшоп/page/2/firm/70000001059395652/82.904172,54.989206"
20,KAZANOVA academy,8‒800‒3333‒004,"Улица Танковая, 11 этаж13 филиалов
Сухой лог м-н, Калининский район, Новосибирск, 630075","https://2gis.ru/novosibirsk/search/сексшоп/page/2/firm/141265769751531/82.913011,55.06335"
21,For You,+7‒952‒926‒05‒85,"Советская, 401 этаж
Центральный район, Новосибирск, 630091","https://2gis.ru/novosibirsk/search/сексшоп/page/2/firm/70000001080780031/82.933994,55.064858"
22,KAZANOVA academy,8‒800‒3333‒004,"Улица Кирова, 10813 филиалов
Октябрьский район, Новосибирск, 630009","https://2gis.ru/novosibirsk/search/сексшоп/page/2/firm/70000001026488416/82.914369,55.038544"
23,2S intim shop,+7‒923‒230‒31‒49,"Улица Чаплыгина, 93205А офис; 2 этаж
Центральный район, Новосибирск, 630099","https://2gis.ru/novosibirsk/search/сексшоп/page/2/firm/70000001081072416/82.953208,55.012438"
24,Доктор Любви,8‒800‒775‒70‒64,"Отель НовосибирскВокзальная магистраль, 11 этаж12 филиалов
Челюскинский ж/м, Железнодорожный район, Новосибирск, 630004","https://2gis.ru/novosibirsk/search/сексшоп/page/3/firm/70000001025116603/82.927653,55.026797"
25,Доктор Любви,8‒800‒775‒70‒64,"Горский микрорайон, 64225 офис; 2 этаж12 филиалов
Горский ж/м, Ленинский район, Новосибирск, 630032","https://2gis.ru/novosibirsk/search/сексшоп/page/3/firm/70000001052544541/82.901053,55.035317"
26,KAZANOVA academy,8‒800‒3333‒004,"Улица Гоголя, 71 этаж13 филиалов
Центральный район, Новосибирск, 630091","https://2gis.ru/novosibirsk/search/сексшоп/page/3/firm/141265771406692/82.893571,54.993173"
27,Доктор Любви,8‒800‒775‒70‒64,"Улица Гурьевская, 5512 филиалов
Октябрьский район, Новосибирск, 630008","https://2gis.ru/novosibirsk/search/сексшоп/page/3/firm/141265771636600/82.918065,55.042719"
28,Доктор Любви,8‒800‒775‒70‒64,"Красный проспект, 1881 этаж12 филиалов
Заельцовский район, Новосибирск, 630049","https://2gis.ru/novosibirsk/search/сексшоп/page/3/firm/70000001043892410/82.952639,55.014448"
29,Интим бутик,+7‒913‒012‒20‒20,"Урицкого, 241 этаж; аптека Доктор Столетов
Тихий центр м-н, Железнодорожный район, Новосибирск, 630099","https://2gis.ru/novosibirsk/search/сексшоп/page/3/firm/70000001036370743/82.915016,55.060032"
30,Доктор Любви,8‒800‒775‒70‒64,"Улица Блюхера, 72 этаж12 филиалов
Ленинский район, Новосибирск, 630078","https://2gis.ru/novosibirsk/search/сексшоп/page/3/firm/70000001083764681/82.913356,55.029237"
31,Доктор Любви,8‒800‒775‒70‒64,"Улица Гоголя, 383 павильон; цокольный этаж; центр Маршал12 филиалов
Фрунзенский м-н, Центральный район, Новосибирск, 630005","https://2gis.ru/novosibirsk/search/сексшоп/page/3/firm/70000001035691735/82.889139,54.983717"
