Название,Телефон,Адрес,Ссылка
Дон Феромон,,"Улица Дуси Ковальчук, 179цокольный этаж3 филиала
Заельцовский район, Новосибирск, 630082",https://2gis.ru/novosibirsk/search/sexshop
Доктор Любви,8‒800‒775‒70‒64,"Улица Покрышкина, 61 этаж12 филиалов
Ленинский район, Новосибирск, 630048","https://2gis.ru/novosibirsk/search/sexshop/firm/70000001019867922/82.909784,55.058715"
Любимый,+7 (383) 299‒70‒90,"Улица Ватутина, 271 этаж
Башня ж/м, Ленинский район, Новосибирск, 630073","https://2gis.ru/novosibirsk/search/sexshop/firm/70000001021284465/82.890898,54.982201"
Азбука любви,+7 (383) 266‒90‒26,"Улица Кирова, 1081 этаж2 филиала
Октябрьский район, Новосибирск, 630009","https://2gis.ru/novosibirsk/search/sexshop/firm/70000001059469317/82.895848,54.983854"
Соблазн,+7‒923‒470‒86‒46,"Красный проспект, 186/11 этаж2 филиала
Заельцовский район, Новосибирск, 630049","https://2gis.ru/novosibirsk/search/sexshop/firm/141265770143917/82.953208,55.012438"
KAZANOVA academy,8‒800‒3333‒004,"Улица Дуси Ковальчук, 266цокольный этаж13 филиалов
Заельцовский район, Новосибирск, 630049","https://2gis.ru/novosibirsk/search/sexshop/firm/70000001064891583/82.914412,55.058877"
Интим-Маркет,8‒800‒551‒91‒13,"Улица Нарымская, 17/21 этаж2 филиала
Челюскинский ж/м, Железнодорожный район, Новосибирск, 630132","https://2gis.ru/novosibirsk/search/sexshop/firm/141265771997066/82.916433,55.060588"
Омут,+7 (383) 209‒09‒20,"Улица Большевистская, 372 этаж
Октябрьский район, Новосибирск, 630102","https://2gis.ru/novosibirsk/search/sexshop/firm/141265769358058/82.90734,55.041049"
Сова54,+7‒983‒001‒52‒52,"Проспект Дзержинского, 581 этаж
Дзержинский район, Новосибирск, 630051","https://2gis.ru/novosibirsk/search/sexshop/firm/70000001066911288/82.93266,55.010497"
Lust boutique,+7‒913‒708‒42‒09,"Советская, 18212 офис; 2 этаж; левое крыло
Тихий центр м-н, Центральный район, Новосибирск, 630099","https://2gis.ru/novosibirsk/search/sexshop/firm/70000001036442076/82.997169,55.066067"
KAZANOVA academy,8‒800‒3333‒004,"Улица Бориса Богаткова, 248а1 этаж13 филиалов
Золотая Нива м-н, Дзержинский район, Новосибирск, 630089","https://2gis.ru/novosibirsk/search/sexshop/firm/70000001036220898/82.91664,55.030279"
KAZANOVA academy,8‒800‒3333‒004,"Проспект Карла Маркса, 31 этаж13 филиалов
Башня ж/м, Ленинский район, Новосибирск, 630064","https://2gis.ru/novosibirsk/search/sexshop/firm/141265769992274/82.978329,55.037185"
KAZANOVA academy,8‒800‒3333‒004,"Гостиница ЦентральнаяУлица Ленина, 3цокольный этаж13 филиалов
Тихий центр м-н, Центральный район, Новосибирск, 630099","https://2gis.ru/novosibirsk/search/sexshop/page/2/firm/70000001029240280/82.8975,54.984168"
Lacorsa,+7‒952‒932‒01‒23,"Проспект Карла Маркса, 551 этаж
Ленинский район, Новосибирск, 630073","https://2gis.ru/novosibirsk/search/sexshop/page/2/firm/70000001029507776/82.916836,55.029549"
KAZANOVA academy,8‒800‒3333‒004,"Красный проспект, 11цокольный этаж13 филиалов
Тихий центр м-н, Центральный район, Новосибирск, 630007","https://2gis.ru/novosibirsk/search/sexshop/page/2/firm/70000001029453785/82.910343,54.991839"
Lovehack 18+,+7‒983‒120‒03‒03,"Советская, 8
Тихий центр м-н, Центральный район, Новосибирск, 630007","https://2gis.ru/novosibirsk/search/sexshop/page/2/firm/141265769363420/82.921673,55.023311"
Магазин Фантазий 18+,+7‒913‒916‒69‒51,"Улица Гоголя, 42193 офис; цокольный этаж
Фрунзенский м-н, Центральный район, Новосибирск, 630005","https://2gis.ru/novosibirsk/search/sexshop/page/2/firm/70000001047572517/82.918378,55.023792"
KAZANOVA academy,8‒800‒3333‒004,"Улица Мичурина, 25/113 филиалов
Центральный район, Новосибирск, 630091","https://2gis.ru/novosibirsk/search/sexshop/page/2/firm/141265771741328/82.940936,55.043842"
KAZANOVA academy,8‒800‒3333‒004,"Улица Геодезическая, 41 этаж13 филиалов
Ленинский район, Новосибирск, 630073","https://2gis.ru/novosibirsk/search/sexshop/page/2/firm/70000001045551178/82.920521,55.042721"
Студия интим-фитнеса,+7‒913‒945‒67‒97,"БЦ АдриатикаКрасный проспект, 20032 офис; 3 этаж
Заельцовский район, Новосибирск, 630049","https://2gis.ru/novosibirsk/search/sexshop/page/2/firm/70000001059395652/82.904172,54.989206"
KAZANOVA academy,8‒800‒3333‒004,"Улица Танковая, 11 этаж13 филиалов
Сухой лог м-н, Калининский район, Новосибирск, 630075","https://2gis.ru/novosibirsk/search/sexshop/page/2/firm/141265769751531/82.913011,55.06335"
For You,+7‒952‒926‒05‒85,"Советская, 401 этаж
Центральный район, Новосибирск, 630091","https://2gis.ru/novosibirsk/search/sexshop/page/2/firm/70000001080780031/82.933994,55.064858"
